"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização no Armário (Gaveta/Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial:shelfLocation","artificial:flaskLocation","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial:subphylum","class","order","artificial:suborder","family","artificial:subfamily","artificial:tribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial:shippingGuide","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-09-07","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PHA...","coleção úmida","x","CEUFMS 06298","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Phasmatodea","x","Pseudophasmatidae","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","02","06",2012,"x","x","02.VI.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x",349,349,"x","x","x","x","álcool etílico 70%",1,"x","x","x","x","selvagem","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-PHA...","x"
"2017-09-07","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PHA...","coleção úmida","x","CEUFMS 06299","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Phasmatodea","x","Timematidae","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","20","04",2012,"x","x","20.IV.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x",349,349,"x","x","x","x","álcool etílico 70%",1,"x","x","x","x","selvagem","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-PHA...","x"
"2017-09-07","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PHA...","x","x","CEUFMS 11206","x","x","Urucumania borellii (Giglio-Tos, 1897)","Urucumania borellii ","(Giglio-Tos, 1897)","Animalia","Arthropoda","Hexapoda","Insecta","Phasmatodea","x","Pseudophasmatidae","Pseudophasmatinae","Anisomorphini","Urucumania","x","borellii","x","espécie","x","x","x","ICZN","x","Olivier, R. S.",2013,"x","Olivier, R. S.","x","x","07","03",2013,"x","x","07.III.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul ","Aquidauana","x","Paxixi","20º27'01.40""S","55º37'16.40""W","-20.450389","-55.621222","x","WGS84","x",349,349,"x","x","x","x","x",1,"x","x","x","x","selvagem","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-PHA...","x"
"2017-09-07","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PHA00001","armário coleção úmida de invertebrados","PHAA","x","ZUFMS-DIP00002; ZUFMS-DIP00003; ZUFMS-DIP00004; ZUFMS-DIP00005; ZUFMS-DIP00006","hospedeiro","Urucumania borellii (Giglio-Tos, 1897)","Urucumania borellii ","(Giglio-Tos, 1897)","Animalia","Arthropoda","Hexapoda","Insecta","Phasmatodea","x","Pseudophasmatidae","Pseudophasmatinae","Anisomorphini","Urucumania","x","borellii","x","espécie","x","x","x","ICZN","x","Olivier, R. S.",2017,"x","Olivier, R. S.; Chamorro-Rengifo, J. & Costa, P. J.","x","x","19","01",2017,"x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Aquidauana","Camisão","Morro do Paxixi","20°27'00.50""S","55°37'20.80""W","-20.450139","-55.622444","x","WGS84","x",349,349,"x","x","x","x","álcool etílico 70%",1,"fêmea","x","adulto","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-PHA00001","x"
"2017-09-07","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PHA00002","armário coleção úmida de invertebrados","PHAA","x","ZUFMS DIP00007","hospedeiro","Urucumania borellii (Giglio-Tos, 1897)","Urucumania borellii ","(Giglio-Tos, 1897)","Animalia","Arthropoda","Hexapoda","Insecta","Phasmatodea","x","Pseudophasmatidae","Pseudophasmatinae","Anisomorphini","Urucumania","x","borellii","x","espécie","x","x","x","ICZN","x","Olivier, R. S.",2017,"x","Olivier, R. S.; Chamorro-Rengifo, J. & Costa, P. J.","x","x","19","01",2017,"x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Aquidauana","Camisão","Morro do Paxixi","20°27'00.50""S","55°37'20.80""W","-20.450139","-55.622444","x","WGS84","x",349,349,"x","x","x","x","álcool etílico 70%",1,"macho","x","adulto","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-PHA00002","x"
,,,,,"ZUFMS-PHA00003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ZUFMS-PHA00004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ZUFMS-PHA00005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ZUFMS-PHA00006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
